No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.400,1,36
2,00:00:01.440,00:00:03.400,37,86
3,00:00:03.440,00:00:05.360,87,135
4,00:00:05.400,00:00:07.320,136,184
5,00:00:07.360,00:00:09.280,185,233
6,00:00:09.320,00:00:10.280,234,258
7,00:00:10.320,00:00:11.280,259,283
8,00:00:11.320,00:00:12.320,284,309
9,00:00:12.360,00:00:13.240,310,332
10,00:00:13.280,00:00:14.240,333,357
11,00:00:14.280,00:00:15.240,358,382
12,00:00:15.280,00:00:16.280,383,408
13,00:00:16.320,00:00:17.160,409,430
14,00:00:17.200,00:00:20.320,431,509
15,00:00:20.360,00:00:23.680,510,593
16,00:00:23.720,00:00:26.760,594,670
17,00:00:26.800,00:00:30.760,671,770
18,00:00:30.800,00:00:32.680,771,818
19,00:00:32.720,00:00:34.480,819,863
20,00:00:34.520,00:00:36.040,864,902
21,00:00:36.080,00:00:37.480,903,938
22,00:00:37.520,00:00:39.280,939,983
23,00:00:39.320,00:00:41.320,984,1034
24,00:00:41.360,00:00:42.960,1035,1075
25,00:00:43.000,00:00:44.920,1076,1124
26,00:00:44.960,00:00:47.280,1125,1183
